Date,Country,Distributor,Brand,Operator,Unit Cost,Amount,Unit Price,Sales
17-03-2018,El Salvador,Plaza Vea,Apple,Bitel,750,14,1200,16800
19-12-2020,USA,Plaza Vea,Apple,Bitel,750,10,1200,12000
24-02-2021,Brasil,Oeschle,Apple,Bitel,750,8,1200,9600
13-02-2019,Paraguay,Plaza Vea,Apple,Bitel,750,50,1200,60000
22-12-2018,Guatemala,Plaza Vea,Apple,Bitel,750,60,1200,72000
07-01-2019,Germany,Tottus,Apple,Bitel,750,36,1200,43200
23-09-2018,Canada,Ripley,Apple,Bitel,750,44,1200,52800
24-11-2021,Paraguay,Tottus,Apple,Bitel,750,151,1200,181200
31-10-2020,Ireland,Ripley,Apple,Bitel,750,49,1200,58800
20-07-2020,Spain,Metro,Apple,Bitel,750,81,1200,97200
12-05-2021,Germany,Metro,Apple,Bitel,750,63,1200,75600
21-04-2018,Peru,Plaza Vea,Apple,Bitel,750,39,1200,46800
29-06-2020,Denmark,Oeschle,Apple,Bitel,750,103,1200,123600
07-08-2021,Paraguay,Metro,Apple,Bitel,750,75,1200,90000
22-10-2021,Denmark,Plaza Vea,Apple,Bitel,750,15,1200,18000
20-09-2018,Argentina,Tottus,Apple,Bitel,750,161,1200,193200
03-09-2021,Peru,Plaza Vea,Apple,Bitel,750,27,1200,32400
18-05-2020,Jamaica,Metro,Apple,Bitel,750,56,1200,67200
04-11-2020,Jamaica,Plaza Vea,Apple,Bitel,750,93,1200,111600
16-02-2021,United Kingdom,Ripley,Apple,Bitel,750,44,1200,52800
26-06-2021,Ireland,Ripley,Apple,Bitel,750,3,1200,3600
23-09-2021,Venezuela,Ripley,Apple,Bitel,750,51,1200,61200
13-05-2018,Argentina,Ripley,Apple,Bitel,750,22,1200,26400
01-09-2021,Ireland,Saga Falabella,Apple,Bitel,750,16,1200,19200
05-02-2019,France,Oeschle,Apple,Bitel,750,117,1200,140400
10-01-2021,Jamaica,Saga Falabella,Apple,Bitel,750,1,1200,1200
20-10-2018,Spain,Plaza Vea,Apple,Bitel,750,73,1200,87600
14-05-2019,Canada,Ripley,Apple,Bitel,750,55,1200,66000
28-03-2020,Brasil,Ripley,Apple,Bitel,750,28,1200,33600
17-05-2020,France,Saga Falabella,Apple,Bitel,750,3,1200,3600
26-02-2019,Peru,Ripley,Apple,Bitel,750,27,1200,32400
15-04-2020,Ireland,Saga Falabella,Apple,Bitel,750,14,1200,16800
23-12-2019,Chile,Ripley,Apple,Bitel,750,14,1200,16800
07-07-2019,Mexico,Saga Falabella,Apple,Bitel,750,16,1200,19200
18-12-2019,United Kingdom,Tottus,Apple,Bitel,750,131,1200,157200
14-11-2021,Bolivia,Ripley,Apple,Bitel,750,22,1200,26400
05-10-2020,El Salvador,Ripley,Apple,Bitel,750,1,1200,1200
12-11-2021,Canada,Saga Falabella,Apple,Bitel,750,7,1200,8400
03-01-2020,Germany,Metro,Apple,Bitel,750,87,1200,104400
07-07-2019,Switzerland,Plaza Vea,Apple,Bitel,750,23,1200,27600
15-03-2021,Mexico,Saga Falabella,Apple,Bitel,750,14,1200,16800
08-12-2021,Jamaica,Oeschle,Apple,Bitel,750,14,1200,16800
20-10-2021,Argentina,Saga Falabella,Apple,Bitel,750,11,1200,13200
18-01-2018,Uruguay,Oeschle,Apple,Bitel,750,68,1200,81600
09-07-2019,Spain,Saga Falabella,Apple,Bitel,750,1,1200,1200
01-10-2018,Venezuela,Tottus,Apple,Bitel,750,66,1200,79200
22-01-2021,Portugal,Ripley,Apple,Bitel,750,7,1200,8400
14-08-2021,Mexico,Oeschle,Apple,Bitel,750,114,1200,136800
20-11-2020,Paraguay,Ripley,Apple,Bitel,750,57,1200,68400
13-10-2021,Venezuela,Oeschle,Apple,Bitel,750,66,1200,79200
22-08-2020,Germany,Saga Falabella,Apple,Bitel,750,20,1200,24000
17-03-2018,El Salvador,Plaza Vea,Apple,Bitel,750,14,1200,16800
19-12-2020,USA,Plaza Vea,Apple,Bitel,750,10,1200,12000
24-02-2021,Brasil,Oeschle,Apple,Bitel,750,8,1200,9600
13-02-2019,Paraguay,Plaza Vea,Apple,Bitel,750,50,1200,60000
22-12-2018,Guatemala,Plaza Vea,Apple,Bitel,750,60,1200,72000
07-01-2019,Germany,Tottus,Apple,Bitel,750,36,1200,43200
23-09-2018,Canada,Ripley,Apple,Bitel,750,44,1200,52800
24-11-2021,Paraguay,Tottus,Apple,Bitel,750,151,1200,181200
31-10-2020,Ireland,Ripley,Apple,Bitel,750,49,1200,58800
20-07-2020,Spain,Metro,Apple,Bitel,750,81,1200,97200
12-05-2021,Germany,Metro,Apple,Bitel,750,63,1200,75600
21-04-2018,Peru,Plaza Vea,Apple,Bitel,750,39,1200,46800
29-06-2020,Denmark,Oeschle,Apple,Bitel,750,103,1200,123600
07-08-2021,Paraguay,Metro,Apple,Bitel,750,75,1200,90000
22-10-2021,Denmark,Plaza Vea,Apple,Bitel,750,15,1200,18000
20-09-2018,Argentina,Tottus,Apple,Bitel,750,161,1200,193200
03-09-2021,Peru,Plaza Vea,Apple,Bitel,750,27,1200,32400
18-05-2020,Jamaica,Metro,Apple,Bitel,750,56,1200,67200
04-11-2020,Jamaica,Plaza Vea,Apple,Bitel,750,93,1200,111600
16-02-2021,United Kingdom,Ripley,Apple,Bitel,750,44,1200,52800
26-06-2021,Ireland,Ripley,Apple,Bitel,750,3,1200,3600
23-09-2021,Venezuela,Ripley,Apple,Bitel,750,51,1200,61200
13-05-2018,Argentina,Ripley,Apple,Bitel,750,22,1200,26400
01-09-2021,Ireland,Saga Falabella,Apple,Bitel,750,16,1200,19200
05-02-2019,France,Oeschle,Apple,Bitel,750,117,1200,140400
10-01-2021,Jamaica,Saga Falabella,Apple,Bitel,750,1,1200,1200
20-10-2018,Spain,Plaza Vea,Apple,Bitel,750,73,1200,87600
14-05-2019,Canada,Ripley,Apple,Bitel,750,55,1200,66000
28-03-2020,Brasil,Ripley,Apple,Bitel,750,28,1200,33600
17-05-2020,France,Saga Falabella,Apple,Bitel,750,3,1200,3600
26-02-2019,Peru,Ripley,Apple,Bitel,750,27,1200,32400
15-04-2020,Ireland,Saga Falabella,Apple,Bitel,750,14,1200,16800
23-12-2019,Chile,Ripley,Apple,Bitel,750,14,1200,16800
07-07-2019,Mexico,Saga Falabella,Apple,Bitel,750,16,1200,19200
18-12-2019,United Kingdom,Tottus,Apple,Bitel,750,131,1200,157200
14-11-2021,Bolivia,Ripley,Apple,Bitel,750,22,1200,26400
05-10-2020,El Salvador,Ripley,Apple,Bitel,750,1,1200,1200
12-11-2021,Canada,Saga Falabella,Apple,Bitel,750,7,1200,8400
03-01-2020,Germany,Metro,Apple,Bitel,750,87,1200,104400
07-07-2019,Switzerland,Plaza Vea,Apple,Bitel,750,23,1200,27600
15-03-2021,Mexico,Saga Falabella,Apple,Bitel,750,14,1200,16800
08-12-2021,Jamaica,Oeschle,Apple,Bitel,750,14,1200,16800
20-10-2021,Argentina,Saga Falabella,Apple,Bitel,750,11,1200,13200
18-01-2018,Uruguay,Oeschle,Apple,Bitel,750,68,1200,81600
09-07-2019,Spain,Saga Falabella,Apple,Bitel,750,1,1200,1200
01-10-2018,Venezuela,Tottus,Apple,Bitel,750,66,1200,79200
11-10-2021,Argentina,Plaza Vea,Apple,Claro,750,70,1200,84000
20-03-2021,Colombia,Ripley,Apple,Claro,750,17,1200,20400
22-01-2018,Argentina,Saga Falabella,Apple,Claro,750,18,1200,21600
25-04-2019,Bolivia,Metro,Apple,Claro,750,56,1200,67200
23-01-2021,Jamaica,Ripley,Apple,Claro,750,5,1200,6000
10-08-2018,Brasil,Saga Falabella,Apple,Claro,750,6,1200,7200
12-11-2020,Venezuela,Saga Falabella,Apple,Claro,750,12,1200,14400
16-11-2018,Canada,Saga Falabella,Apple,Claro,750,17,1200,20400
21-06-2020,Colombia,Plaza Vea,Apple,Claro,750,40,1200,48000
13-08-2021,Guatemala,Saga Falabella,Apple,Claro,750,14,1200,16800
18-01-2021,Switzerland,Tottus,Apple,Claro,750,74,1200,88800
02-11-2019,Paraguay,Metro,Apple,Claro,750,19,1200,22800
04-12-2019,USA,Saga Falabella,Apple,Claro,750,18,1200,21600
19-09-2019,Argentina,Plaza Vea,Apple,Claro,750,48,1200,57600
14-08-2020,Brasil,Ripley,Apple,Claro,750,17,1200,20400
15-11-2018,Switzerland,Ripley,Apple,Claro,750,21,1200,25200
26-04-2019,Chile,Metro,Apple,Claro,750,9,1200,10800
22-10-2021,Jamaica,Oeschle,Apple,Claro,750,42,1200,50400
21-03-2018,Brasil,Ripley,Apple,Claro,750,17,1200,20400
31-10-2018,Venezuela,Ripley,Apple,Claro,750,28,1200,33600
21-07-2019,Denmark,Tottus,Apple,Claro,750,3,1200,3600
15-03-2020,El Salvador,Tottus,Apple,Claro,750,102,1200,122400
22-08-2019,Cuba,Oeschle,Apple,Claro,750,48,1200,57600
01-06-2018,Venezuela,Ripley,Apple,Claro,750,13,1200,15600
20-10-2020,Spain,Ripley,Apple,Claro,750,5,1200,6000
21-04-2021,Canada,Tottus,Apple,Claro,750,85,1200,102000
26-12-2019,Chile,Plaza Vea,Apple,Claro,750,52,1200,62400
23-06-2018,Brasil,Saga Falabella,Apple,Claro,750,18,1200,21600
14-05-2019,Spain,Plaza Vea,Apple,Claro,750,4,1200,4800
01-11-2020,Chile,Tottus,Apple,Claro,750,107,1200,128400
16-02-2021,El Salvador,Oeschle,Apple,Claro,750,70,1200,84000
22-05-2018,Peru,Plaza Vea,Apple,Claro,750,40,1200,48000
16-06-2018,Cuba,Oeschle,Apple,Claro,750,53,1200,63600
12-05-2019,El Salvador,Oeschle,Apple,Claro,750,67,1200,80400
18-09-2020,Cuba,Ripley,Apple,Claro,750,34,1200,40800
25-01-2021,Chile,Oeschle,Apple,Claro,750,75,1200,90000
17-03-2021,Germany,Ripley,Apple,Claro,750,28,1200,33600
08-06-2021,Jamaica,Oeschle,Apple,Claro,750,81,1200,97200
21-02-2021,Cuba,Plaza Vea,Apple,Claro,750,4,1200,4800
27-08-2021,Paraguay,Saga Falabella,Apple,Claro,750,16,1200,19200
19-06-2019,Germany,Ripley,Apple,Claro,750,31,1200,37200
04-09-2021,Argentina,Saga Falabella,Apple,Claro,750,16,1200,19200
04-12-2020,Canada,Metro,Apple,Claro,750,17,1200,20400
21-02-2021,Paraguay,Metro,Apple,Claro,750,33,1200,39600
30-03-2019,Switzerland,Ripley,Apple,Claro,750,22,1200,26400
04-04-2019,France,Plaza Vea,Apple,Claro,750,45,1200,54000
31-07-2018,Argentina,Saga Falabella,Apple,Claro,750,16,1200,19200
02-05-2021,France,Metro,Apple,Claro,750,29,1200,34800
11-10-2021,Argentina,Plaza Vea,Apple,Claro,750,70,1200,84000
20-03-2021,Colombia,Ripley,Apple,Claro,750,17,1200,20400
22-01-2018,Argentina,Saga Falabella,Apple,Claro,750,18,1200,21600
25-04-2019,Bolivia,Metro,Apple,Claro,750,56,1200,67200
23-01-2021,Jamaica,Ripley,Apple,Claro,750,5,1200,6000
10-08-2018,Brasil,Saga Falabella,Apple,Claro,750,6,1200,7200
12-11-2020,Venezuela,Saga Falabella,Apple,Claro,750,12,1200,14400
16-11-2018,Canada,Saga Falabella,Apple,Claro,750,17,1200,20400
21-06-2020,Colombia,Plaza Vea,Apple,Claro,750,40,1200,48000
13-08-2021,Guatemala,Saga Falabella,Apple,Claro,750,14,1200,16800
18-01-2021,Switzerland,Tottus,Apple,Claro,750,74,1200,88800
02-11-2019,Paraguay,Metro,Apple,Claro,750,19,1200,22800
04-12-2019,USA,Saga Falabella,Apple,Claro,750,18,1200,21600
19-09-2019,Argentina,Plaza Vea,Apple,Claro,750,48,1200,57600
14-08-2020,Brasil,Ripley,Apple,Claro,750,17,1200,20400
15-11-2018,Switzerland,Ripley,Apple,Claro,750,21,1200,25200
26-04-2019,Chile,Metro,Apple,Claro,750,9,1200,10800
22-10-2021,Jamaica,Oeschle,Apple,Claro,750,42,1200,50400
21-03-2018,Brasil,Ripley,Apple,Claro,750,17,1200,20400
31-10-2018,Venezuela,Ripley,Apple,Claro,750,28,1200,33600
21-07-2019,Denmark,Tottus,Apple,Claro,750,3,1200,3600
15-03-2020,El Salvador,Tottus,Apple,Claro,750,102,1200,122400
22-08-2019,Cuba,Oeschle,Apple,Claro,750,48,1200,57600
01-06-2018,Venezuela,Ripley,Apple,Claro,750,13,1200,15600
20-10-2020,Spain,Ripley,Apple,Claro,750,5,1200,6000
21-04-2021,Canada,Tottus,Apple,Claro,750,85,1200,102000
26-12-2019,Chile,Plaza Vea,Apple,Claro,750,52,1200,62400
23-06-2018,Brasil,Saga Falabella,Apple,Claro,750,18,1200,21600
14-05-2019,Spain,Plaza Vea,Apple,Claro,750,4,1200,4800
01-11-2020,Chile,Tottus,Apple,Claro,750,107,1200,128400
16-02-2021,El Salvador,Oeschle,Apple,Claro,750,70,1200,84000
22-05-2018,Peru,Plaza Vea,Apple,Claro,750,40,1200,48000
16-06-2018,Cuba,Oeschle,Apple,Claro,750,53,1200,63600
12-05-2019,El Salvador,Oeschle,Apple,Claro,750,67,1200,80400
18-09-2020,Cuba,Ripley,Apple,Claro,750,34,1200,40800
25-01-2021,Chile,Oeschle,Apple,Claro,750,75,1200,90000
17-03-2021,Germany,Ripley,Apple,Claro,750,28,1200,33600
08-06-2021,Jamaica,Oeschle,Apple,Claro,750,81,1200,97200
21-02-2021,Cuba,Plaza Vea,Apple,Claro,750,4,1200,4800
27-08-2021,Paraguay,Saga Falabella,Apple,Claro,750,16,1200,19200
19-06-2019,Germany,Ripley,Apple,Claro,750,31,1200,37200
04-09-2021,Argentina,Saga Falabella,Apple,Claro,750,16,1200,19200
04-12-2020,Canada,Metro,Apple,Claro,750,17,1200,20400
21-02-2021,Paraguay,Metro,Apple,Claro,750,33,1200,39600
30-03-2019,Switzerland,Ripley,Apple,Claro,750,22,1200,26400
04-04-2019,France,Plaza Vea,Apple,Claro,750,45,1200,54000
31-07-2018,Argentina,Saga Falabella,Apple,Claro,750,16,1200,19200
02-05-2021,France,Metro,Apple,Claro,750,29,1200,34800
14-06-2019,Bolivia,Tottus,Apple,Entel,750,172,1200,206400
30-06-2018,Denmark,Tottus,Apple,Entel,750,61,1200,73200
02-08-2021,Peru,Tottus,Apple,Entel,750,47,1200,56400
07-05-2021,Paraguay,Saga Falabella,Apple,Entel,750,10,1200,12000
01-09-2020,Uruguay,Metro,Apple,Entel,750,43,1200,51600
16-04-2020,France,Oeschle,Apple,Entel,750,104,1200,124800
23-08-2021,Colombia,Metro,Apple,Entel,750,44,1200,52800
01-06-2018,Guatemala,Oeschle,Apple,Entel,750,166,1200,199200
22-12-2020,Denmark,Ripley,Apple,Entel,750,7,1200,8400
29-05-2019,Ireland,Plaza Vea,Apple,Entel,750,86,1200,103200
18-11-2021,Paraguay,Plaza Vea,Apple,Entel,750,141,1200,169200
26-04-2018,United Kingdom,Metro,Apple,Entel,750,38,1200,45600
21-02-2018,Argentina,Ripley,Apple,Entel,750,70,1200,84000
17-01-2020,Ireland,Tottus,Apple,Entel,750,77,1200,92400
06-01-2021,Guatemala,Tottus,Apple,Entel,750,131,1200,157200
24-03-2021,Portugal,Saga Falabella,Apple,Entel,750,14,1200,16800
06-10-2018,Ireland,Ripley,Apple,Entel,750,55,1200,66000
07-01-2020,Guatemala,Saga Falabella,Apple,Entel,750,3,1200,3600
06-12-2020,Brasil,Plaza Vea,Apple,Entel,750,23,1200,27600
14-03-2020,Guatemala,Tottus,Apple,Entel,750,172,1200,206400
01-07-2020,Canada,Oeschle,Apple,Entel,750,1,1200,1200
13-04-2021,Brasil,Metro,Apple,Entel,750,92,1200,110400
19-08-2021,Colombia,Saga Falabella,Apple,Entel,750,31,1200,37200
08-03-2018,Denmark,Saga Falabella,Apple,Entel,750,23,1200,27600
09-12-2021,Paraguay,Plaza Vea,Apple,Entel,750,139,1200,166800
11-03-2018,Uruguay,Saga Falabella,Apple,Entel,750,33,1200,39600
07-04-2021,Paraguay,Ripley,Apple,Entel,750,53,1200,63600
09-09-2021,Mexico,Plaza Vea,Apple,Entel,750,151,1200,181200
16-09-2018,USA,Plaza Vea,Apple,Entel,750,41,1200,49200
26-06-2019,Uruguay,Saga Falabella,Apple,Entel,750,27,1200,32400
02-10-2021,Germany,Tottus,Apple,Entel,750,83,1200,99600
13-02-2021,Denmark,Saga Falabella,Apple,Entel,750,28,1200,33600
15-07-2021,Venezuela,Tottus,Apple,Entel,750,24,1200,28800
02-02-2019,Spain,Oeschle,Apple,Entel,750,53,1200,63600
27-09-2021,Venezuela,Plaza Vea,Apple,Entel,750,114,1200,136800
09-08-2021,Switzerland,Oeschle,Apple,Entel,750,14,1200,16800
28-11-2020,United Kingdom,Saga Falabella,Apple,Entel,750,3,1200,3600
07-02-2018,Colombia,Tottus,Apple,Entel,750,181,1200,217200
26-12-2021,Germany,Metro,Apple,Entel,750,34,1200,40800
05-05-2019,Jamaica,Tottus,Apple,Entel,750,173,1200,207600
11-11-2020,Brasil,Saga Falabella,Apple,Entel,750,6,1200,7200
24-02-2019,Bolivia,Ripley,Apple,Entel,750,66,1200,79200
19-03-2021,Uruguay,Ripley,Apple,Entel,750,39,1200,46800
02-05-2019,Bolivia,Tottus,Apple,Entel,750,128,1200,153600
18-07-2018,United Kingdom,Metro,Apple,Entel,750,109,1200,130800
11-01-2018,Cuba,Oeschle,Apple,Entel,750,178,1200,213600
14-06-2019,Bolivia,Tottus,Apple,Entel,750,172,1200,206400
30-06-2018,Denmark,Tottus,Apple,Entel,750,61,1200,73200
02-08-2021,Peru,Tottus,Apple,Entel,750,47,1200,56400
07-05-2021,Paraguay,Saga Falabella,Apple,Entel,750,10,1200,12000
01-09-2020,Uruguay,Metro,Apple,Entel,750,43,1200,51600
16-04-2020,France,Oeschle,Apple,Entel,750,104,1200,124800
23-08-2021,Colombia,Metro,Apple,Entel,750,44,1200,52800
01-06-2018,Guatemala,Oeschle,Apple,Entel,750,166,1200,199200
22-12-2020,Denmark,Ripley,Apple,Entel,750,7,1200,8400
29-05-2019,Ireland,Plaza Vea,Apple,Entel,750,86,1200,103200
18-11-2021,Paraguay,Plaza Vea,Apple,Entel,750,141,1200,169200
26-04-2018,United Kingdom,Metro,Apple,Entel,750,38,1200,45600
21-02-2018,Argentina,Ripley,Apple,Entel,750,70,1200,84000
17-01-2020,Ireland,Tottus,Apple,Entel,750,77,1200,92400
